title,reply
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"개인적으로 애플에서 이번에 C타입에도 MFI를 들고 나온다면, 큰 반발을 불러와서 시장의 변화를 일으키지 않을까싶습니다"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,아무리 같은 C타입이 채택되더라도 MFi라는 인증 제도를 유지하면 MFi 인증이 된 케이블을 또 구매해서 환경 범람의 우려는 여전할 것 같다는 생각이 듭니다.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"희망편: c타입 단가가 올라가서 사람들이 함부로 버리지 않아요!

절망편: 인증되지 않은 충전단자는 안전•보안상의 문제를 일으킬 수 있으므로 문제 발생 시 소비자가 부담해야합니다."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"USB-C는 애플 인텔 MS등 
USB Implementers Forum의 멤버들이 모여 만든건데 이중 Apple이 제일 주도적으로 USB-C를 만드려 했단 썰이 있습니다. 이유는 30핀 다음 세대 케이블은 양방향 커넥터를 개발하고 싶었는데 USB-C 개발에 성공하면서 이 양방향 커넥터를 라이트닝에 적용할 수가 있었죠.

Apple은 여기서 멈추지 않고
USB-C의 속도가 더 빠르기를 원했고
결국 인텔과 합작하여 썬더볼트를 만들게 되죠.

Apple이 USB-C를 만들고도 라이트닝 케이블을 만든건 당연히 MFI인증 라이선스 비용으로 매년 수천억의 수익을 얻기 때문이고요.

제발 MFI는 안해줬으면..."
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,잇섭님 인트로는 진짜 생각도 안 해봤는데.. 제발 C타입에 그런 일이 생긴다면.. 너무 슬플 것 같아요. 
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"애플이 생색도 잘 내지만 재고부품을 
어떻게 해서든 잘 소모시키는 기업이라서… 올해는 보기 힘들수도 있어 보이네요"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,진짜 인증 제품만 가능하게 만든다면... ㄱㅆㄺ 인거죠. 아이패드 프로에 이미 잘쓰고 있는데 이미 ㅆㄺ 되기로 마음 먹었다면.... 저는 그것들도 건들일 가능성이 충분히 있다 생각됩니다.
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,혹시 AI 관련 기기나 테크관련 영상도 올려주실수 있나요? 잇섭님의 관점이 궁금하네요
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"개인적으로 usb-c에대해 잇섭님이 제대로 다루어줬으면 하는 바람이 있네요
같은c타입인데 어떤건 usb2.0 이고 어떤건 usb 3.1 gen1 또 pd부터 썬더볼트까지 너무 다양해서 복잡하더라고요
저같은 알못을 위해 제대로 다루어주었으면 하는 바램이네요"
아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,"자석타입에 케이블에 애플의 정보전송기능 에어드랍이나 
블루투스 기능의 빠른걸 접목시키면 가격은 올라가도 편의성이나 사용성 그리고 기기 수리 부분에서도 많이 좋아질것 같은데 항상 기대중입니다 
맥세이프 하나로 정보전송 충전 다 잡으면 바로 넘어갈 생각입니다 ㅋㅋㅋ"
